Business_type,CVR,Status,address
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Aktieselskab","27482007,32286232,33362455,25852206,12602693,25521455,28852827,38387847,14873406,32769675","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Lykkegårdvej 2 ,Vester Lindet,6510 Gram,Lerager 1,4500 Nykøbing Sj,Klamsagervej 35, 1.,8230 Åbyhøj,Store Torv 4,8000 Aarhus C,Abelsgade 12,9700 Brønderslev,Håndværkervej 6,9700 Brønderslev,Rosenlundvej 13,3540 Lynge,Stengade 47A,3000 Helsingør,Chr. Schrøders Gade 40,7730 Hanstholm,Gl. Århusvej 241B,8800 Viborg"
"Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","42278998,14371605,21866008,31429102,27232620,35840508,32835392,29801533,39852284,36936398","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Månevænget 20,2680 Solrød Strand,Stenhusvej 52,4300 Holbæk,Astrupvej 1 ,Hadbjerg,8370 Hadsten,Dyrbyvej 11 ,Gassum,8981 Spentrup,Oddesundvej 37, 1.,6715 Esbjerg N,Kløvervej 46,9400 Nørresundby,Nedergade 28,5000 Odense C,Snerlevej 68,7500 Holstebro,Ole Maaløes Vej 3,2200 København N,Elhøjvej 33 ,Fajstrup,8471 Sabro"
"Aktieselskab,Kommanditselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab","25333977,21834998,24228282,41294795,18458195,32665640,38737406,39977362,32058000,28890397","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Tømrervej 7,4600 Køge,Bredgade 34A, st.,1260 København K,Nyhavn 45, kl.,1051 København K,Stursbølvej 2 ,Stursbøl,6560 Sommersted,Ellekær 9A, 2. th.,2730 Herlev,Stokhøjvej 5 ,Helligkilde,7790 Thyholm,Hammershusvej 27 ,Udstrup,4370 Store Merløse,Sigynsgade 22, 2. th.,2200 København N,Christian X's Vej 2A,6100 Haderslev,Holsteinborgvej 2A,4243 Rude"
"Erhvervsdrivende fond,Aktieselskab,Erhvervsdrivende fond,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","41627239,26032385,26505747,34218692,33747071,28708505,35375635,34479429,16271802,19239748","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Frederiksholms Kanal 30,1220 København K,Hasselager Centervej 1,8260 Viby J,Stadion Allé 70,8000 Aarhus C,Lundbyvej 5,8961 Allingåbro,Kragelund Skovvej 1,7100 Vejle,Jyllingecentret 13B,4040 Jyllinge,Virumvej 68B,2830 Virum,Villa Gallinavej 10,4690 Haslev,Østergade 28 ,Hasle,3790 Hasle,Brædstrupvej 72 ,Aale,7160 Tørring"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Selskab med begrænset ansvar,Anpartsselskab,Aktieselskab,Anpartsselskab","41191120,29415560,37199087,39597853,38723030,40450521,31431921,36408707,19439747,30911865","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Hadsund Landevej 601,9260 Gistrup,Asgårdsvej 12,8700 Horsens,Møgelgårdsvej 47A,8520 Lystrup,Bordinglundvej 3 ,Funderholme,8600 Silkeborg,Vedbækgade 7, 4.,2200 København N,Stenmaglevej 93,2700 Brønshøj,Færgeparken 23,3600 Frederikssund,Færgeparken 23,3600 Frederikssund,Drejøvænget 42,5500 Middelfart,Højmarken 9,9560 Hadsund"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab","40067868,37542695,37650323,21256110,10266947,32646239,39500140,63642010,26206804,32768660","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Sivlandvænget 3, st. ,Hjallese,5260 Odense S,Messevej 12,9600 Aars,Vinkelvej 12,6600 Vejen,Sundkrogsgade 19, 2.,2100 København Ø,Søterrassen 4 ,Øverød,2840 Holte,Østergade 23,6520 Toftlund,Tolstojs Alle 28,2860 Søborg,Skinderskovvej 32 - 36,2730 Herlev,Islevdalvej 124,2610 Rødovre,Åboulevard 84,2200 København N"
"Aktieselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","37967432,30551702,32336329,30802764,37593850,30501454,35523693,36952067,42163627,42036404","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Rosbjergvej 26B, 1. ,Årslev,8220 Brabrand,Dalbyovervej 40 ,Ø Tørslev,8983 Gjerlev J,Ringager 12,2605 Brøndby,Orebygårdvej 3 ,Tjørring,7400 Herning,Fiskehuskajen 13,9990 Skagen,Tranebærvej 46,8220 Brabrand,Drigstrupvej 40 ,Drigstrup,5300 Kerteminde,Bangertsgade 7, st. tv.,2200 København N,Allerød Stationsvej 4,3450 Allerød,Søborghus Park 5, 4. th.,2860 Søborg"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","26601479,17680285,25460227,37838489,31894867,40582630,37137154,35415335,37990248,28105533","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Mariendalsvej 60,2000 Frederiksberg,Jegindøvej 18,8800 Viborg,Aldumvej 11 ,Spettrup,8722 Hedensted,Dalumvej 69 ,Dalum,5250 Odense SV,Pustervig 4, 3. th.,1126 København K,Ghanavej 12,2770 Kastrup,Borgmestervangen 12, 4. th.,2200 København N,Havnevej 10,4720 Præstø,Hovgård 1 ,Rinkenæs,6300 Gråsten,Tarphagevej 46,6710 Esbjerg V"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab,Filial af udenlandsk aktieselskab, kommanditaktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","20951532,34199019,83309016,41548177,32831850,33757085,31609879,42935484,14377948,38800671","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Axel Kiers Vej 8B,8270 Højbjerg,Blommeskoven 1A,4281 Gørlev,Haverslevvej 81 ,Aarestrup,9520 Skørping,Hellerupvej 5,2900 Hellerup,Sieferts Plads 5,7430 Ikast,Teknikerbyen 5, 2. ,Søllerød,2830 Virum,Mosevang 5,3540 Lynge,Poul Ankers Gade 2,1271 København K,Vestergade 1,8800 Viborg,Eigtveds Alle 1, 2. th. ,Høje Taastrup,2630 Taastrup"
"Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","35827781,41340649,73109310,34043515,40034471,38653636,35524673,25491440,38713582,38892770","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Ørnebjergvej 5R,3650 Ølstykke,Middelfartvej 8 ,Blanke,5466 Asperup,Lille Tornbjerg Vej 24 ,Tornbjerg,5220 Odense SØ,Rosenkæret 11C, st. th.,2860 Søborg,Industrivangen 13C,4550 Asnæs,Rødkildevej 1,4200 Slagelse,Nordre Strandvej 343A,3100 Hornbæk,Asminderødgade 53,3480 Fredensborg,Sønderbyvej 19A ,Blangslev,4700 Næstved,Mosegårdsvej 5 ,Dreslette,5683 Haarby"
